"Source.Name","Nombre","Valoracion","Club","División","Edad","Posición","Valor de traspaso","Sueldo","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal.1","Aér","Agr","Agi","Ace","Rec","Inf"
"SERIE A.html","Samuele Ghezzi","24","Atalanta","Serie A italiana","16","ME (C)","3,5m € - 35m €","1.100 € p/m","10","9","6","1","5","6","9","7","5","2","1","5","3","3","12","7","6","3","1","11","1","11","7","3","9","7","2","4","2","6","10","13","5","6","12","5","3","4","3","2","4","8","8","3","12","11","12","- -  -","Juv"
"SERIE A.html","Nicola Noventa","20","Atalanta","Serie A italiana","16","ME (C)","0 € - 120m €","1.100 € p/m","7","9","3","3","5","7","8","8","12","1","3","5","1","2","12","9","6","3","2","7","3","8","5","4","1","7","1","4","2","6","7","14","9","12","13","6","3","4","5","1","3","8","11","1","12","10","8","- -  -","Juv"
"SERIE A.html","Daniel Armstrong","43","Atalanta","Serie A italiana","16","ME (C)","3,5m € - 35m €","1.100 € p/m","8","10","5","1","5","6","7","6","4","4","2","5","2","2","10","6","6","4","1","9","2","12","7","1","2","7","1","4","1","4","9","11","8","8","12","5","1","8","5","1","2","6","6","2","8","9","14","- -  -","Juv"
"SERIE A.html","Filippo Illipronti","23","Atalanta","Serie A italiana","16","POR","0 € - 85m €","1.100 € p/m","4","13","15","8","5","1","1","3","4","1","3","3","4","10","3","1","2","2","13","15","3","11","1","10","5","5","15","4","5","5","3","9","1","12","1","10","8","4","1","1","9","5","10","11","11","9","8","- -  -","Juv"
"SERIE A.html","Piotr Pardel","23","Atalanta","Serie A italiana","16","POR","20m € - 200m €","1.100 € p/m","3","5","10","5","3","1","2","3","2","1","8","3","5","8","3","3","3","1","8","12","2","8","3","7","4","4","6","5","5","4","2","14","2","12","1","8","5","6","3","1","12","7","6","8","5","13","7","- -  -","Juv"
"SERIE A.html","Candas Fiogbe","21","Atalanta","Serie A italiana","16","MP (C), DL (C)","12m € - 120m €","1.100 € p/m","7","12","5","2","4","6","8","13","5","1","4","4","4","2","6","4","11","13","1","12","3","4","2","3","9","5","3","3","1","5","1","9","11","6","9","4","2","5","4","13","2","3","8","1","6","12","12","- -  -","Juv"
"SERIE A.html","Hugo Buyla","22","Atalanta","Serie A italiana","16","DF (C)","30m € - 85m €","1.100 € p/m","4","10","7","2","1","2","1","5","4","1","1","4","2","1","5","3","1","4","3","9","4","4","5","2","9","4","1","7","1","5","8","5","1","10","5","6","3","10","1","13","4","6","11","2","14","13","9","- -  -","Juv"
"SERIE A.html","Andrea Coati","25","Atalanta","Serie A italiana","16","ME (C)","35m € - 110m €","1.100 € p/m","10","13","4","4","6","14","11","6","4","1","3","6","2","3","12","9","6","3","1","16","3","14","10","3","10","7","3","1","1","7","8","11","4","5","12","7","3","5","6","6","1","5","1","3","7","12","12","- -  -","Juv"
"SERIE A.html","Marco Palestra","25","Atalanta","Serie A italiana","16","ME (C)","20m € - 190m €","1.100 € p/m","12","12","7","1","6","9","11","11","11","2","2","6","1","3","9","8","7","5","3","9","6","14","11","1","4","7","2","3","3","7","8","16","6","12","10","3","1","4","5","5","3","6","3","1","7","9","13","- -  -","Juv"
"SERIE A.html","Corrado Marrulli","20","Atalanta","Serie A italiana","16","ME (C)","0 € - 110m €","1.100 € p/m","7","12","5","3","3","10","7","5","3","1","2","3","2","4","9","10","1","4","3","13","1","12","2","3","10","4","1","2","1","4","3","14","6","7","12","3","1","3","3","3","2","5","2","2","9","12","8","- -  -","Juv"
"SERIE A.html","Lorenzo Carnevali","23","Bologna","Serie A italiana","16","DF (IC)","0 € - 90m €","1.100 € p/m","1","10","7","1","1","3","4","5","5","4","3","3","1","3","5","6","1","1","2","12","1","4","8","2","4","4","1","3","2","5","11","14","1","13","6","9","3","13","1","10","2","8","9","1","15","11","7","- -  -","Juv"
"SERIE A.html","Davide Baroncioni","25","Bologna","Serie A italiana","16","DF (I)","0 € - 80m €","1.100 € p/m","4","10","9","3","1","4","8","5","5","7","3","1","3","2","14","10","1","7","2","11","1","9","9","3","4","14","3","4","3","8","9","14","4","14","8","5","2","7","4","7","3","9","11","3","12","12","10","- -  -","Juv"
"SERIE A.html","Riccardo Crociati","24","Bologna","Serie A italiana","16","DF (D)","0 € - 70m €","1.100 € p/m","9","8","4","3","3","8","10","5","9","8","3","6","2","1","9","10","6","4","3","11","3","10","10","2","11","9","2","7","4","9","16","5","8","9","10","10","1","8","9","9","1","9","11","2","6","10","8","- -  -","Juv"
"SERIE A.html","Nicolò Goffredi","22","Bologna","Serie A italiana","16","DF (D)","2m € - 20m €","1.100 € p/m","4","12","7","3","1","1","7","5","6","3","2","2","3","1","7","12","3","6","1","12","4","8","7","3","6","7","2","3","3","4","12","4","5","13","6","6","3","5","5","7","3","6","6","3","13","13","11","- -  -","Juv"
"SERIE A.html","Federico Paterlini","25","Bologna","Serie A italiana","16","DF (C)","0 € - 90m €","1.100 € p/m","1","7","7","2","1","3","5","5","4","1","4","1","1","3","6","4","1","1","2","14","2","6","14","2","10","5","2","4","2","6","14","5","4","13","6","5","2","8","2","10","2","4","6","1","10","8","9","- -  -","Juv"
"SERIE A.html","Saer Diop","30","Bologna","Serie A italiana","16","DF (C), MC, ME (C)","230m € - 700m €","1.100 € p/m","9","9","8","4","7","6","9","5","6","7","3","5","2","1","9","6","7","5","4","12","4","9","10","2","11","14","1","8","2","8","12","7","8","15","9","7","2","7","5","9","2","8","9","1","12","9","7","- -  -","Juv"
"SERIE A.html","Federico Bellisi","30","Bologna","Serie A italiana","16","ME (C)","20m € - 190m €","1.100 € p/m","8","10","5","1","7","9","15","5","9","5","3","5","2","2","10","9","9","9","3","13","7","7","7","1","2","9","2","5","1","9","7","13","9","14","10","5","1","9","5","7","1","7","9","2","11","10","10","- -  -","Juv"
"SERIE A.html","Gísli Gottskálk Þórðarson","30","Bologna","Serie A italiana","16","MP (IC)","70m € - 210m €","1.100 € p/m","7","10","7","1","6","9","12","12","6","6","1","6","2","1","8","8","8","14","2","15","3","10","6","3","10","7","1","5","2","6","5","4","10","9","13","8","1","4","8","4","3","8","11","4","6","12","8","- -  -","Juv"
"SERIE A.html","Lorenzo Menegazzo","27","Bologna","Serie A italiana","16","MC, ME (C)","55m € - 550m €","1.100 € p/m","12","7","8","1","7","9","10","5","6","3","2","4","3","3","9","8","8","8","3","13","5","10","9","1","3","14","3","4","1","14","9","7","5","15","12","7","3","8","6","7","1","6","3","2","6","7","6","- -  -","Juv"
"SERIE A.html","Manuel Rosetti","27","Bologna","Serie A italiana","16","ME (C)","6m € - 60m €","1.100 € p/m","7","12","7","2","5","8","9","7","13","3","3","3","2","3","12","11","4","2","1","10","1","12","7","3","1","7","1","3","1","6","4","14","5","13","12","6","2","3","5","5","2","7","3","3","9","11","13","- -  -","Juv"
"SERIE A.html","Nicolas Zenzola","34","Bologna","Serie A italiana","16","DL (C)","16m € - 170m €","1.100 € p/m","7","10","6","3","6","4","14","13","12","1","2","6","3","1","11","6","8","14","2","9","5","3","5","3","11","8","2","8","2","14","1","11","14","8","14","3","3","3","3","13","2","7","8","2","12","10","7","- -  -","Juv"
"SERIE A.html","Divine Omoregie","25","Bologna","Serie A italiana","16","DL (C)","60m € - 600m €","1.100 € p/m","8","13","12","3","3","8","9","15","5","4","2","5","3","2","13","9","9","9","1","13","6","8","1","1","9","12","2","4","1","15","1","9","9","10","11","5","2","6","7","9","1","8","12","2","8","12","11","- -  -","Juv"
"SERIE A.html","Gabriele Torino","31","Bologna","Serie A italiana","16","MP (D)","190m € - 550m €","1.100 € p/m","8","13","7","2","6","10","7","8","4","6","3","6","2","2","8","3","7","8","1","13","2","8","5","2","7","7","2","3","3","14","7","9","9","4","12","7","2","5","8","8","2","6","7","3","10","10","14","- -  -","Juv"
"SERIE A.html","Davide Di Cristofaro","28","Bologna","Serie A italiana","16","DL (C)","55m € - 160m €","1.100 € p/m","7","12","3","2","6","6","12","12","7","1","2","6","1","2","7","4","14","14","2","14","3","7","3","3","5","6","2","6","1","7","2","8","14","8","11","7","3","4","3","14","3","5","13","3","10","8","10","- -  -","Juv"
"SERIE A.html","Edoardo Aronni","30","Bologna","Serie A italiana","16","ME/MP (C)","4m € - 40m €","1.100 € p/m","6","13","3","1","5","7","13","13","3","3","1","5","2","3","6","11","6","7","3","11","2","7","5","3","10","6","2","3","1","6","7","14","8","13","9","1","3","4","5","4","1","3","13","2","5","13","13","- -  -","Juv"
"SERIE A.html","Giovanni Busato","34","Bologna","Serie A italiana","16","MP (D), DL (C)","70m € - 700m €","1.100 € p/m","10","10","7","2","9","7","10","12","6","5","2","12","3","1","9","9","9","9","1","10","9","11","3","2","7","11","2","6","3","11","4","8","10","11","9","9","3","8","9","7","3","9","5","1","7","12","12","- -  -","Juv"
"SERIE A.html","Federico Corsi","31","Bologna","Serie A italiana","16","ME/MP (C)","16m € - 160m €","1.100 € p/m","7","9","6","2","7","8","15","12","6","5","3","6","3","4","9","8","9","9","1","9","7","9","6","3","7","4","2","4","1","8","8","16","9","14","10","8","1","7","7","7","3","7","12","1","8","9","9","- -  -","Juv"
"SERIE A.html","Augustine Ofoasi","33","Bologna","Serie A italiana","16","DF (D), CR/ME/MP (I)","60m € - 600m €","1.100 € p/m","10","5","8","3","8","8","12","11","9","5","3","7","3","3","14","9","7","8","2","13","5","12","9","1","9","15","4","3","2","9","10","7","10","10","9","6","3","10","9","8","3","9","8","3","12","6","8","- -  -","Juv"
"SERIE A.html","Manuel Cesari","28","Bologna","Serie A italiana","16","MP (DC)","20m € - 200m €","1.100 € p/m","4","12","6","1","4","3","12","13","4","4","2","4","2","2","11","8","6","11","2","15","1","12","1","2","8","6","2","1","1","12","6","12","9","12","10","3","3","4","5","1","3","5","8","3","11","12","12","- -  -","Juv"
"SERIE A.html","Kevin D'Almeida","28","Bologna","Serie A italiana","16","DL (C)","4m € - 40m €","1.100 € p/m","2","13","1","2","5","4","9","9","10","1","3","5","3","2","6","7","13","9","1","15","8","6","2","1","6","5","3","6","3","6","1","10","11","9","9","5","3","2","4","12","3","8","8","2","10","13","13","- -  -","Juv"
"SERIE A.html","Christian De Marco","28","Bologna","Serie A italiana","16","DF/CR (D)","55m € - 550m €","1.100 € p/m","9","9","8","2","2","6","9","5","8","7","4","5","1","2","13","8","6","8","1","12","1","9","9","4","12","14","2","5","1","5","15","4","4","8","9","11","1","9","4","6","2","9","9","2","13","10","13","- -  -","Juv"
"SERIE A.html","Davide Franzini","31","Bologna","Serie A italiana","16","POR","210m € - 600m €","1.100 € p/m","5","9","13","5","6","1","3","2","2","2","12","3","5","13","6","4","1","3","9","14","2","13","1","7","3","6","5","5","6","6","3","19","3","13","2","8","9","11","3","1","13","5","13","10","11","13","12","- -  -","Juv"
"SERIE A.html","Federico Magnolfi","25","Bologna","Serie A italiana","16","POR","0 € - 70m €","1.100 € p/m","4","9","11","9","2","2","3","2","3","1","12","1","9","5","4","2","3","2","13","15","2","6","2","9","1","5","10","6","10","5","3","17","3","13","1","5","5","9","3","1","9","8","12","12","8","9","7","- -  -","Juv"
"SERIE A.html","Francesco Raffaeli","18","Bologna","Serie A italiana","16","POR","18m € - 50m €","1.100 € p/m","3","5","12","9","5","1","1","2","2","2","11","2","6","8","2","1","1","2","12","15","3","5","3","2","7","4","8","3","5","4","1","10","2","8","1","9","5","4","1","1","12","6","8","12","13","6","9","- -  -","Juv"
"SERIE A.html","Francesco Di Turi","27","Bologna","Serie A italiana","16","DF (C)","16m € - 160m €","1.100 € p/m","3","10","8","1","1","4","5","5","4","1","1","2","2","3","6","6","2","2","2","11","2","4","13","3","8","5","2","6","4","3","8","14","3","13","5","5","1","13","1","13","1","6","15","1","11","10","13","- -  -","Juv"
"SERIE A.html","Davide Collu","20","Cagliari","Serie A italiana","16","DF (C)","3,5m € - 35m €","1.100 € p/m","1","8","7","2","1","1","4","5","4","1","1","1","1","3","5","8","1","1","2","6","1","4","12","2","5","4","3","6","2","5","6","8","2","13","5","10","1","6","1","9","2","10","10","2","13","10","6","- -  -","Juv"
"SERIE A.html","Nicola Pintus","20","Cagliari","Serie A italiana","16","DF (C)","10m € - 95m €","1.100 € p/m","5","14","8","2","1","3","5","5","7","3","1","1","3","2","7","9","1","1","2","11","3","7","11","2","3","6","2","7","2","7","14","19","3","14","7","5","4","12","5","9","3","5","10","3","14","14","9","- -  -","Juv"
"SERIE A.html","Simone D'Abrosca","20","Cagliari","Serie A italiana","16","POR","0 € - 70m €","1.100 € p/m","3","10","9","5","5","1","2","3","3","2","8","2","6","9","3","1","2","3","12","12","2","7","3","7","7","4","5","5","9","4","2","8","2","12","1","7","6","4","3","1","8","3","14","12","12","11","9","- -  -","Juv"
"SERIE A.html","Riyad Idrissi","23","Cagliari","Serie A italiana","16","ME/MP (DC)","12m € - 120m €","1.100 € p/m","8","11","6","2","4","6","12","12","7","4","3","4","2","3","6","5","6","10","3","12","3","8","1","4","6","5","3","1","3","5","6","8","8","5","11","2","3","5","6","4","3","4","1","1","11","9","13","- -  -","Juv"
"SERIE A.html","Michele Carboni","18","Cagliari","Serie A italiana","16","MC, ME (C)","0 € - 85m €","1.100 € p/m","10","14","8","2","6","6","10","5","7","1","1","3","1","3","11","6","7","6","1","11","3","8","5","3","1","7","1","6","1","7","10","18","6","11","10","6","1","6","4","6","2","7","9","3","14","13","14","- -  -","Juv"
"SERIE A.html","Lorenzo Matza","24","Cagliari","Serie A italiana","16","DF (C)","0 € - 120m €","1.100 € p/m","2","8","7","2","1","1","4","5","5","2","3","1","1","2","5","9","1","1","3","16","1","2","11","2","10","4","1","3","4","5","13","13","1","13","5","6","2","13","3","11","3","9","13","3","14","10","6","- -  -","Juv"
"SERIE A.html","Federico Arba","24","Cagliari","Serie A italiana","16","DF (DC)","12m € - 130m €","1.100 € p/m","4","9","7","2","1","3","4","5","1","2","3","1","1","2","5","5","1","2","2","16","2","5","7","3","6","4","3","6","3","5","13","5","1","12","6","12","3","13","3","13","3","4","10","1","14","8","6","- -  -","Juv"
"SERIE A.html","Luca Accossu","27","Cagliari","Serie A italiana","16","DF (C)","85m € - 250m €","1.100 € p/m","4","7","8","3","1","2","5","5","6","1","3","1","2","1","6","10","4","5","2","5","1","6","11","2","6","5","3","8","3","6","13","10","3","13","6","5","2","12","3","12","2","3","15","3","15","9","8","- -  -","Juv"
"SERIE A.html","Alessandro Serra","25","Cagliari","Serie A italiana","16","ME (C)","3m € - 28m €","1.100 € p/m","6","13","2","1","3","6","11","8","4","1","2","1","1","2","11","7","4","5","3","13","2","13","6","1","5","7","2","4","3","6","11","11","7","10","12","3","3","7","4","4","3","4","7","3","14","13","13","- -  -","Juv"
"SERIE A.html","Alessio Erriu","25","Cagliari","Serie A italiana","16","DL (C)","0 € - 120m €","1.100 € p/m","6","12","6","2","1","6","11","11","7","4","4","4","4","2","6","8","13","11","2","11","7","6","4","3","1","5","3","4","1","3","2","17","9","11","13","1","1","3","1","13","3","11","10","1","5","12","10","- -  -","Juv"
"SERIE A.html","Stefano Atzeni","19","Cagliari","Serie A italiana","16","DF (C)","2m € - 22m €","1.100 € p/m","1","8","4","2","1","1","1","5","1","1","2","1","2","1","4","9","1","1","3","13","1","3","10","3","4","2","2","6","1","3","11","15","1","11","3","2","1","7","1","11","3","7","10","1","5","7","11","- -  -","Juv"
"SERIE A.html","Cristian Serra","25","Cagliari","Serie A italiana","16","ME (C)","0 € - 85m €","1.100 € p/m","14","11","3","1","6","5","11","5","9","1","3","3","2","2","12","8","4","4","1","14","4","13","10","2","6","7","1","1","3","4","7","7","8","10","12","6","1","4","6","5","2","4","3","1","12","10","11","- -  -","Juv"
"SERIE A.html","Alessandro Galante","20","Cagliari","Serie A italiana","16","MC, ME (C)","0 € - 75m €","1.100 € p/m","10","11","5","3","3","5","11","5","4","1","2","1","1","1","7","8","3","1","3","8","1","9","5","3","9","4","1","2","2","4","11","6","5","12","12","5","3","2","3","3","3","4","6","1","7","12","10","- -  -","Juv"
"SERIE A.html","Andrea Pulina","22","Cagliari","Serie A italiana","16","MP (I), DL (C)","65m € - 190m €","1.100 € p/m","6","8","6","3","3","6","11","11","7","4","1","4","3","1","7","6","13","12","1","14","4","8","5","1","9","6","2","4","1","6","6","12","8","10","11","4","3","4","9","7","1","5","12","3","13","10","13","- -  -","Juv"
"SERIE A.html","Alex Caddeo","19","Cagliari","Serie A italiana","16","ME (DC)","0 € - 95m €","1.100 € p/m","6","13","3","3","5","6","13","8","10","1","3","5","1","2","10","6","5","4","1","11","2","12","3","2","2","5","3","3","1","2","6","14","3","9","13","2","1","2","7","5","1","5","3","2","5","12","13","- -  -","Juv"
"SERIE A.html","Samuele Diodato","19","Empoli","Serie A italiana","16","DL (C)","0 € - 40m €","1.100 € p/m","1","11","2","3","3","4","5","9","7","1","1","3","3","4","4","8","12","12","3","13","2","4","3","2","9","3","4","5","2","4","1","12","6","9","10","1","3","1","4","11","2","8","6","4","12","10","12","- -  -","Juv"
"SERIE A.html","Andrea Sodero","18","Empoli","Serie A italiana","16","MP (DI), DL (C)","0 € - 65m €","1.100 € p/m","7","13","7","1","5","6","4","9","3","5","2","7","1","1","7","3","11","12","3","13","2","11","5","1","5","6","2","4","1","3","6","9","8","11","9","4","2","4","11","7","3","4","5","3","6","11","13","- -  -","Juv"
"SERIE A.html","Luca Marianucci","18","Empoli","Serie A italiana","16","DF (C)","0 € - 85m €","1.100 € p/m","7","8","5","1","5","2","7","5","7","2","2","5","3","3","8","7","3","4","1","11","3","8","8","1","11","6","2","9","3","7","14","2","3","8","7","8","4","13","3","7","2","6","9","2","10","11","6","- -  -","Juv"
"SERIE A.html","Mario Crasta","19","Empoli","Serie A italiana","16","MC, ME (C)","1,5m € - 16m €","1.100 € p/m","9","6","6","2","1","7","8","6","2","1","1","3","1","3","10","5","5","2","1","10","1","13","6","2","1","6","1","4","2","2","13","13","5","12","12","1","2","4","4","4","2","7","8","3","10","9","10","- -  -","Juv"
"SERIE A.html","Daniele Giovannucci","20","Empoli","Serie A italiana","16","MC, ME (C)","0 € - 55m €","1.100 € p/m","7","12","6","1","3","4","10","5","5","1","1","3","2","1","9","4","4","1","1","13","2","10","4","1","1","5","3","3","1","4","10","13","4","12","9","5","2","3","1","3","1","5","5","3","15","12","12","- -  -","Juv"
"SERIE A.html","Edoardo Cecchi","19","Empoli","Serie A italiana","16","ME (C)","0 € - 60m €","1.100 € p/m","11","13","1","3","4","8","10","5","3","1","1","4","2","2","10","5","5","2","2","8","1","13","5","2","1","6","1","1","2","5","4","9","3","9","13","5","1","3","3","2","3","3","2","3","11","13","13","- -  -","Juv"
"SERIE A.html","Tommaso Botrini","21","Empoli","Serie A italiana","16","DF (C)","0 € - 50m €","1.100 € p/m","1","9","6","2","1","3","1","5","2","1","3","1","2","3","4","2","1","1","1","15","1","4","12","3","2","3","2","6","1","4","8","15","3","12","4","7","1","11","1","12","3","8","6","1","15","11","7","- -  -","Juv"
"SERIE A.html","Jacopo Seghetti","22","Empoli","Serie A italiana","16","POR","26m € - 80m €","1.100 € p/m","3","10","12","3","5","1","2","1","1","3","6","4","8","9","3","3","1","2","12","17","3","7","1","8","8","4","9","2","5","4","2","6","2","12","3","3","8","7","3","1","10","2","7","10","13","5","12","- -  -","Juv"
"SERIE A.html","Asier Izquierdo","23","Empoli","Serie A italiana","16","DF (C)","0 € - 65m €","1.100 € p/m","3","10","6","2","1","1","3","5","4","2","3","1","2","2","4","3","1","1","2","13","1","4","12","2","2","3","3","5","3","4","10","10","1","11","2","7","1","12","1","9","4","8","10","2","9","11","10","- -  -","Juv"
"SERIE A.html","Tommaso Bocci","23","Empoli","Serie A italiana","16","MP (C)","0 € - 65m €","1.100 € p/m","9","11","5","1","4","6","13","13","4","2","2","4","1","3","6","5","11","9","4","11","1","9","4","2","9","5","3","3","1","2","4","14","9","5","13","1","1","4","2","5","2","5","10","1","7","10","12","- -  -","Juv"
"SERIE A.html","Tomas Tampucci","23","Empoli","Serie A italiana","16","POR","0 € - 110m €","1.100 € p/m","3","11","8","2","5","2","1","2","3","1","9","2","5","12","3","2","1","1","12","16","3","5","1","4","10","4","8","4","5","4","3","16","1","12","1","10","8","12","3","1","9","7","10","8","5","10","9","- -  -","Juv"
"SERIE A.html","Giovanni Seghi","23","Empoli","Serie A italiana","16","DL (C)","20m € - 60m €","1.100 € p/m","8","13","4","1","3","5","9","9","3","4","3","1","2","1","6","4","13","7","3","11","6","6","2","1","11","4","1","6","3","5","1","14","7","5","7","2","3","3","4","12","2","5","7","1","12","13","13","- -  -","Juv"
"SERIE A.html","Matteo Masini","23","Empoli","Serie A italiana","16","ME (C)","0 € - 70m €","1.100 € p/m","13","11","3","2","4","6","7","6","3","1","2","4","1","2","9","5","5","3","1","5","1","12","8","1","7","5","3","3","3","5","10","13","3","13","12","5","1","3","4","4","3","8","6","3","11","12","10","- -  -","Juv"
"SERIE A.html","Manuel Trivelli","23","Empoli","Serie A italiana","16","MP (DI)","0 € - 60m €","1.100 € p/m","7","10","6","2","4","4","12","12","8","3","3","5","1","3","11","11","3","13","2","11","1","11","2","3","2","6","3","3","2","4","5","11","8","10","7","5","1","4","9","4","2","4","9","3","9","7","13","- -  -","Juv"
"SERIE A.html","Filippo Michelucci","23","Empoli","Serie A italiana","16","MC","2m € - 20m €","1.100 € p/m","7","13","1","3","5","7","14","5","6","1","4","5","3","1","10","5","6","6","2","11","2","11","5","2","1","7","1","4","3","4","11","7","5","13","10","6","3","8","4","2","1","7","10","1","10","12","10","- -  -","Juv"
"SERIE A.html","Sandro De Ferdinando","23","Empoli","Serie A italiana","16","DF (I)","0 € - 70m €","1.100 € p/m","6","14","7","1","3","2","6","5","7","6","3","6","1","3","7","10","1","5","2","12","3","7","8","2","1","7","1","6","3","7","12","17","6","10","9","9","1","5","5","7","2","8","5","2","11","13","12","- -  -","Juv"
"SERIE A.html","Guido Corsi","18","Empoli","Serie A italiana","16","DL (C)","0 € - 55m €","1.100 € p/m","1","10","5","2","1","4","6","13","10","1","3","3","2","2","5","10","8","10","2","12","1","3","1","2","8","3","2","2","2","4","1","16","11","7","11","4","2","1","1","11","1","7","9","3","5","8","11","- -  -","Juv"
"SERIE A.html","Tommaso Cappelli","18","Empoli","Serie A italiana","16","MP (I), DL (C)","20m € - 60m €","1.100 € p/m","5","10","3","3","4","13","12","12","9","2","3","1","3","2","6","1","6","12","3","17","4","6","1","1","10","4","2","2","4","13","1","11","7","3","11","5","3","2","1","6","2","8","9","2","10","8","12","- -  -","Juv"
"SERIE A.html","Chidiche Ofoma","18","Empoli","Serie A italiana","16","DL (C)","0 € - 40m €","1.100 € p/m","5","13","6","3","4","5","8","8","7","1","4","4","1","4","5","3","8","10","3","14","1","5","3","1","1","4","1","3","1","4","2","14","5","5","13","4","3","5","5","12","3","9","5","3","13","12","11","- -  -","Juv"
"SERIE A.html","Simone Graziani","18","Empoli","Serie A italiana","16","DL (C)","1m € - 9m €","1.100 € p/m","4","8","3","1","3","4","11","12","12","1","3","3","1","1","2","6","9","10","2","15","6","4","1","3","10","3","3","4","3","2","1","4","12","6","12","1","3","1","1","11","1","8","5","4","5","10","11","- -  -","Juv"
"SERIE A.html","Andrea Bellini","18","Empoli","Serie A italiana","16","DF (DI)","9m € - 28m €","1.100 € p/m","3","11","7","2","1","1","6","5","3","4","2","4","1","2","7","5","6","2","1","14","1","7","7","2","9","7","1","5","2","3","13","10","2","15","7","11","1","8","3","7","2","5","5","2","8","8","12","- -  -","Juv"
