"Nombre","Altura","Nac","Sueldo neto","Club","División","Edad","Posición","Valor de traspaso","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal2","Aér","Agr","Agi","Ace","Rec","Inf","RM"
"Davy Klaassen","181 cm","NED","74.000 € p/m","Ajax","Eredivisie","28","ME/MP (C)","15,5M € - 18,5M €","14","12","13","3","8","12","13","13","13","5","3","8","2","3","18","16","14","11","3","17","14","12","7","1","14","18","2","12","2","14","11","18","16","15","14","16","1","12","11","13","1","17","10","2","17","13","11","- - -","",""
"Matthias Ginter","191 cm","GER","145.000 € p/m","Borussia M'gladbach","Bundesliga","27","DF (DC)","10,5M € - 12,5M €","12","11","12","4","7","10","13","8","15","11","1","6","1","2","14","14","7","7","2","16","11","13","14","3","13","15","2","14","3","13","14","14","10","15","13","15","1","15","9","15","1","15","14","1","7","9","11","- - -","Seg",""
"Andrea Belotti","181 cm","ITA","184.000 € p/m","Torino","Serie A italiana","27","DL (C)","16M € - 23M €","12","14","17","1","8","12","12","12","14","4","1","4","3","2","17","14","16","11","3","14","15","12","6","2","14","18","3","16","3","17","10","18","16","13","12","15","3","7","8","15","2","15","13","3","15","12","13","- - -","Seg",""
"Dominic Calvert-Lewin","187 cm","ENG","189.000 € p/m","Everton","Premier Division inglesa","24","DL (C)","56M € - 80M €","10","16","14","2","7","9","14","12","13","2","2","9","2","3","15","15","15","11","4","14","7","11","6","2","5","15","3","16","3","14","5","14","16","14","15","15","2","6","11","17","3","14","16","3","13","14","16","- - -","Seg",""
"Djibril Sow","184 cm","SUI","101.000 € p/m","Eintracht Frankfurt","Bundesliga","24","MC, ME (C)","15M € - 18M €","14","17","10","3","8","12","14","10","13","7","4","8","2","3","16","16","9","13","1","17","10","14","10","2","9","12","1","11","3","12","12","12","14","13","13","11","4","10","10","9","3","12","12","4","15","13","13","- - -","",""
"Breel Embolo","187 cm","SUI","155.000 € p/m","Borussia M'gladbach","Bundesliga","24","ME (D), MP (DC), DL (C)","12,5M € - 15M €","13","15","17","3","8","11","12","15","12","8","2","8","2","1","16","14","11","13","1","13","13","12","7","2","7","14","3","17","2","17","7","15","15","11","14","11","3","7","10","12","2","11","13","2","16","13","14","- - -","Les",""
"Stefano Sensi","168 cm","ITA","184.000 € p/m","Sampdoria","Serie A italiana","25","MC, ME/MP (C)","6,6M € - 8,2M €","15","13","11","3","16","15","16","16","15","3","2","14","2","2","12","10","12","14","1","7","12","17","7","2","11","16","3","7","3","11","11","15","14","16","16","13","3","13","13","4","1","15","4","3","11","16","14","- - -","Les",""
"Rúben Neves","180 cm","POR","163.000 € p/m","Wolves","Premier Division inglesa","24","MC, ME (C)","62M € - 77M €","17","11","11","1","16","15","16","11","15","7","3","14","1","3","14","13","11","12","4","14","16","17","11","2","13","15","3","11","2","14","13","16","11","15","14","15","1","14","13","9","3","15","11","2","13","13","11","- - -","Est",""
"Alex Telles","181 cm","BRA","243.000 € p/m","Man UFC","Premier Division inglesa","28","DF/CR (I)","19,5M € - 29M €","13","14","17","1","15","14","14","14","13","12","1","17","1","1","12","15","12","13","1","14","18","12","11","3","14","13","4","11","1","14","12","14","13","12","14","13","1","9","17","10","2","13","13","2","15","14","14","- - -","Les",""
"Joël Veltman","182 cm","NED","103.000 € p/m","Brighton","Premier Division inglesa","29","DF (DC)","24M € - 28M €","11","11","14","3","4","5","13","9","13","9","3","7","1","2","14","14","8","11","3","16","7","13","13","1","15","14","2","12","3","12","16","16","11","14","13","16","2","16","10","14","2","14","13","2","17","12","12","- - -","Est",""
"Takumi Minamino","174 cm","JPN","203.000 € p/m","Liverpool","Premier Division inglesa","26","ME (C), MP (DIC), DL (C)","19M €","13","14","12","2","10","11","15","15","12","5","3","10","1","3","14","13","13","14","2","14","10","14","8","1","7","14","1","7","3","14","7","14","14","11","14","14","1","8","12","7","1","13","8","3","11","16","14","- - -","Trn",""
"Niklas Stark","190 cm","GER","93.000 € p/m","Hertha Berlin","Bundesliga","26","DF (C)","10M € - 12,5M €","10","14","14","1","7","10","11","7","13","10","3","6","1","3","14","14","9","10","2","15","8","12","13","1","13","18","3","14","2","13","14","13","10","13","12","11","2","13","8","13","1","13","15","1","13","12","13","- - -","",""
"Ramy Bensebaïni","186 cm","ALG","118.000 € p/m","Borussia M'gladbach","Bundesliga","26","DF (IC), CR/ME (I)","10M € - 14,5M €","12","14","15","3","6","9","12","9","13","13","3","6","3","1","15","17","7","11","1","14","9","13","15","3","12","12","2","11","3","12","15","16","14","11","12","10","1","11","15","12","3","14","15","3","14","14","13","- - -","Les",""
"Munas Dabbur","182 cm","ISR","162.000 € p/m","Hoffenheim","Bundesliga","29","DL (C)","16M € - 19M €","14","13","10","4","12","13","15","14","14","6","1","9","1","3","12","14","13","14","2","13","12","13","7","2","10","15","4","12","2","10","8","13","16","15","16","12","2","8","11","12","3","14","11","3","12","14","11","- - -","Seg",""
"Pierre-Emile Højbjerg","185 cm","DEN","270.000 € p/m","Tottenham","Premier Division inglesa","25","MC, ME (C)","37M € - 52M €","12","12","15","4","13","9","13","11","13","10","3","12","3","2","18","19","11","11","2","20","13","13","11","2","13","16","1","15","2","14","16","18","13","12","14","14","1","14","12","8","1","14","12","2","17","11","11","- - -","Est",""
"Oliver Baumann","187 cm","GER","139.000 € p/m","Hoffenheim","Bundesliga","31","POR","No a la venta","7","10","11","16","6","3","9","4","13","1","11","5","15","16","10","12","3","3","16","16","2","8","2","10","11","17","8","14","8","12","2","13","1","12","9","16","14","8","2","6","16","16","14","13","8","14","12","- - -","",""
"Alexandr Golovin","180 cm","RUS","333.000 € p/m","AS Monaco","Ligue 1 Uber Eats","25","ME/MP (IC)","40M € - 59M €","16","14","12","1","13","13","16","15","11","3","3","14","1","3","14","13","12","16","2","13","13","15","10","3","11","14","2","10","2","14","11","15","13","12","15","13","2","11","13","7","1","13","10","1","12","15","14","- - -","",""
"Thomas Meunier","191 cm","BEL","459.000 € p/m","Borussia Dortmund","Bundesliga","29","DF/CR/ME (D)","9,8M € - 11,5M €","13","15","15","1","10","12","13","12","12","8","2","8","1","3","16","15","10","13","4","15","11","11","11","1","8","16","3","16","1","15","14","16","15","10","11","13","1","10","15","13","4","13","14","1","14","11","13","- - -","",""
"Filip Kostić","184 cm","SRB","116.000 € p/m","Eintracht Frankfurt","Bundesliga","28","CR/ME/MP (I)","24M € - 35M €","12","16","14","3","12","13","13","14","12","10","1","14","2","2","14","14","12","14","1","13","11","11","9","2","6","9","4","13","2","16","9","10","14","12","12","11","2","10","16","7","2","12","10","1","13","12","16","- - -","",""
"Roberto Soriano","182 cm","ITA","149.000 € p/m","Bologna","Serie A italiana","30","MC, ME/MP (C)","6,2M € - 7,6M €","15","12","13","2","9","14","16","15","12","3","3","8","3","1","16","13","12","14","3","14","9","15","8","2","12","16","1","13","2","13","10","13","13","13","15","14","2","12","11","8","1","14","10","2","12","13","12","- - -","Seg",""
"Leandro Trossard","172 cm","BEL","117.000 € p/m","Brighton","Premier Division inglesa","26","MP (DIC), DL (C)","22M € - 32M €","15","14","13","2","12","13","16","15","13","4","3","14","1","2","12","13","13","15","2","10","15","14","5","3","8","10","4","9","2","13","4","11","15","13","14","14","2","9","12","5","2","12","6","1","13","13","15","- - -","Seg",""
"Kevin Trapp","189 cm","GER","139.000 € p/m","Eintracht Frankfurt","Bundesliga","30","POR","19M € - 23M €","7","10","14","17","7","1","10","6","16","1","11","5","11","15","10","10","3","2","17","15","6","9","3","12","9","17","12","16","10","14","1","12","2","14","10","13","10","16","3","7","14","15","12","12","8","14","13","- - -","",""
"André-Franck Zambo Anguissa","184 cm","CMR","91.000 € p/m","Napoli","Serie A italiana","25","MC, ME (C)","30M € - 37M €","10","15","15","2","8","8","15","16","13","9","1","5","2","1","17","17","7","17","2","16","9","15","13","1","11","16","1","16","3","17","16","16","14","14","15","16","1","14","8","12","2","14","13","3","14","12","14","- - -","",""
"Douglas Luiz","178 cm","BRA","136.000 € p/m","Aston Villa","Premier Division inglesa","23","MC, ME (C)","39M € - 58M €","13","13","12","1","10","14","15","14","14","9","1","7","3","2","14","14","12","13","2","14","11","14","14","3","13","13","3","13","2","13","14","13","13","13","14","12","3","12","8","11","2","14","11","2","13","14","14","- - -","",""
"Patrik Schick","191 cm","CZE","233.000 € p/m","Bayer 04","Bundesliga","25","DL (C)","42M € - 50M €","14","15","13","3","9","14","15","15","13","4","2","8","2","2","12","14","15","15","3","13","12","12","6","2","6","12","1","12","3","13","7","10","14","13","16","13","1","7","10","14","1","14","15","3","12","13","15","- - -","Seg",""
"Lucas Moura","172 cm","BRA","216.000 € p/m","Tottenham","Premier Division inglesa","28","ME (D), MP (DI), DL (C)","27M € - 39M €","12","15","12","2","9","9","14","13","12","6","1","11","2","3","16","15","13","16","4","17","11","13","6","2","7","15","2","8","1","11","9","14","13","13","13","11","3","7","12","15","2","13","11","3","11","13","15","- - -","",""
"Jordan Pickford","187 cm","ENG","297.000 € p/m","Everton","Premier Division inglesa","27","POR","40M € - 47M €","15","8","15","15","8","1","14","1","10","3","16","4","12","14","11","13","2","1","16","15","3","12","1","15","14","10","11","13","12","12","2","14","3","12","11","14","14","14","3","8","14","14","14","14","16","16","8","- - -","",""
"Eran Zahavi","181 cm","ISR","41.500 € p/m","PSV","Eredivisie","33","MP (IC), DL (C)","3,2M € - 6,2M €","14","11","13","2","14","13","12","14","17","7","3","11","2","1","16","14","15","12","3","13","14","14","7","3","16","11","3","12","2","12","7","19","16","14","14","13","2","8","12","10","2","15","10","3","11","13","11","- - -","Seg",""
"Jonny","175 cm","ESP","203.000 € p/m","Wolves","Premier Division inglesa","27","DF/CR (DI)","29M € - 35M €","9","15","16","1","7","7","12","8","13","13","3","6","3","1","16","15","10","14","1","15","8","14","14","2","12","15","4","12","3","12","14","14","11","14","10","16","2","14","14","11","3","14","10","2","14","14","15","- - -","Les",""
"Adam Lallana","173 cm","ENG","181.000 € p/m","Brighton","Premier Division inglesa","33","MC, ME/MP (DIC)","No a la venta","15","10","12","3","7","7","18","16","16","4","1","11","3","1","14","11","8","17","3","14","9","15","11","3","14","16","3","9","4","14","9","15","16","15","16","15","3","11","13","6","3","15","6","2","11","13","10","- - -","",""
"Alphonse Areola","195 cm","FRA","371.000 € p/m","West Ham","Premier Division inglesa","28","POR","6,4M € - 9,4M €","9","12","13","14","8","12","10","8","15","1","14","4","13","12","13","15","2","3","15","15","2","10","3","12","10","15","12","14","8","17","2","14","8","12","10","14","13","14","1","3","14","14","15","14","8","14","12","- - -","",""
"Anthony Lopes","184 cm","POR","175.000 € p/m","OL","Ligue 1 Uber Eats","30","POR","21M € - 30M €","8","13","18","16","8","1","10","9","12","3","10","4","13","14","10","15","2","1","16","15","4","9","3","14","17","10","11","14","12","14","1","16","5","12","10","12","14","13","3","6","14","15","13","11","13","16","13","- - -","",""
"Nahitan Nández","171 cm","URU","124.000 € p/m","Cagliari","Serie A italiana","25","CR (D), MC, ME (DC)","9,2M € - 11M €","13","13","16","3","7","12","12","11","12","4","1","8","2","2","17","14","11","13","4","18","9","13","13","3","13","16","2","14","1","14","15","18","15","13","12","15","3","13","13","8","2","13","7","2","17","15","14","- - -","",""
"Yann Sommer","183 cm","SUI","125.000 € p/m","Borussia M'gladbach","Bundesliga","32","POR","No a la venta","10","10","11","15","8","1","13","2","18","1","16","5","15","18","14","12","1","1","15","17","4","12","2","14","12","17","8","11","14","14","3","14","3","16","11","14","12","13","1","7","13","17","12","12","8","14","13","- - -","",""
"Eric Dier","188 cm","ENG","243.000 € p/m","Tottenham","Premier Division inglesa","27","DF (C)","46M € - 54M €","12","12","16","1","11","11","13","5","13","5","4","7","1","2","15","13","9","11","3","14","8","14","14","3","13","15","3","15","2","11","16","16","11","14","13","14","2","15","12","15","1","14","13","3","16","10","11","- - -","Seg",""
"Bryan Cristante","188 cm","ITA","166.000 € p/m","Roma","Serie A italiana","26","MC, ME (C)","26M € - 31M €","14","13","14","2","8","15","14","9","16","7","1","8","2","1","16","16","13","14","2","15","12","16","12","2","11","19","3","16","1","17","14","14","14","15","15","11","1","13","11","17","3","13","16","3","6","9","9","- - -","Seg",""
"Lewis Dunk","191 cm","ENG","181.000 € p/m","Brighton","Premier Division inglesa","29","DF (C)","32M € - 38M €","12","14","17","1","9","5","13","8","14","6","1","5","1","3","14","15","6","9","1","13","10","14","14","4","15","14","1","14","3","10","16","14","7","15","13","15","3","15","7","14","1","14","16","3","13","11","12","- - -","Seg",""
"Davinson Sánchez","187 cm","COL","176.000 € p/m","Tottenham","Premier Division inglesa","25","DF (C)","27M € - 33M €","10","15","15","3","10","9","14","10","13","8","3","7","1","3","14","15","10","11","3","15","7","13","13","2","9","14","1","16","1","13","15","14","10","13","13","11","2","13","7","13","3","12","14","3","15","13","15","- - -","",""
"Mohamed Elneny","180 cm","EGY","136.000 € p/m","Arsenal","Premier Division inglesa","28","MC, ME (C)","13,5M € - 19M €","12","12","14","2","8","14","14","8","14","8","1","8","4","2","16","16","8","11","4","18","13","13","13","2","11","18","1","15","3","15","15","14","11","14","14","14","2","13","7","12","3","14","13","3","12","12","12","- - -","",""
"Łukasz Fabiański","190 cm","POL","163.000 € p/m","West Ham","Premier Division inglesa","36","POR","375m € - 7,6M €","10","8","12","15","1","1","7","5","16","1","12","3","14","14","13","10","2","3","16","13","6","11","7","13","8","14","12","13","7","12","13","15","4","12","8","18","14","15","3","11","15","13","15","13","10","15","9","- - -","Est",""
"Moussa Dembélé","183 cm","FRA","148.000 € p/m","OL","Ligue 1 Uber Eats","24","DL (C)","11M € - 16,5M €","11","15","14","1","12","12","13","13","14","3","1","5","1","4","12","14","15","13","2","15","15","12","3","3","10","12","1","15","2","15","3","15","16","12","12","11","2","8","8","15","1","13","13","2","10","13","15","- - -","Seg",""
"Alessandro Florenzi","173 cm","ITA","272.000 € p/m","Milan","Serie A italiana","30","DF/CR/ME/MP (D)","18,5M € - 22M €","12","14","15","4","13","14","13","12","13","9","2","14","2","3","14","13","9","12","3","16","11","13","12","3","14","16","3","9","3","11","12","16","14","13","14","15","1","12","13","9","3","13","8","2","14","15","15","- - -","",""
"Gary Medel","171 cm","CHI","116.000 € p/m","Bologna","Serie A italiana","33","DF (C), MC","180m € - 1,8M €","12","11","18","2","5","9","12","5","13","10","1","5","2","3","18","14","5","6","2","10","4","13","15","2","12","18","1","15","3","16","15","20","10","12","10","13","3","15","12","13","3","16","9","1","18","12","13","- - -","Seg",""
"David Ospina","183 cm","COL","131.000 € p/m","Napoli","Serie A italiana","32","POR","16,5M € - 19,5M €","8","8","14","15","6","2","11","5","13","3","15","4","14","11","12","12","1","3","17","17","2","12","3","14","13","12","11","12","11","15","1","16","2","14","10","13","14","13","1","8","14","14","13","11","10","16","11","- - -","",""
"Silas Katompa Mvumpa","189 cm","COD","29.000 € p/m","VfB Stuttgart","Bundesliga","22","CR/ME/MP (D), DL (C)","29M € - 43M €","11","17","11","3","7","10","13","17","13","5","2","7","2","2","12","13","12","14","3","15","13","12","7","3","6","14","1","12","3","14","10","12","13","12","12","11","2","10","8","9","1","12","12","1","14","15","15","- - -","Les",""
"Matteo Pessina","187 cm","ITA","96.000 € p/m","Atalanta","Serie A italiana","24","ME/MP (C)","20M € - 30M €","13","14","15","2","7","11","14","14","13","3","3","8","1","3","17","15","12","14","2","13","10","14","9","4","10","15","3","12","2","14","13","17","16","15","15","15","4","12","12","12","1","14","13","3","15","14","14","- - -","",""
"Nils Petersen","188 cm","GER","38.000 € p/m","SC Freiburg","Bundesliga","32","DL (C)","60m € - 6M €","9","12","12","3","8","12","10","8","15","5","2","6","3","3","14","15","17","9","1","14","16","9","7","1","10","12","3","13","3","11","7","13","15","10","10","17","3","7","8","15","3","17","14","1","9","12","11","- - -","Les",""
"Albin Ekdal","186 cm","SWE","105.000 € p/m","Sampdoria","Serie A italiana","31","MC, ME (C)","95m € - 5,8M €","12","12","14","2","9","13","13","10","16","4","1","6","1","1","15","14","10","11","3","17","10","15","14","3","16","15","1","12","2","15","14","15","13","12","13","16","2","14","10","11","2","16","11","1","12","10","10","- - -","Seg",""
"Lorenzo De Silvestri","186 cm","ITA","87.000 € p/m","Bologna","Serie A italiana","33","DF/CR/ME (D)","400m € - 4M €","8","15","16","1","4","6","11","8","14","15","1","8","1","1","17","14","10","10","1","14","4","11","12","1","13","17","1","14","1","14","11","18","13","13","11","13","1","13","13","15","1","13","14","1","14","12","14","- - -","Seg",""
"Luiz Felipe","187 cm","ITA","78.500 € p/m","Lazio","Serie A italiana","24","DF (C)","15M € - 17,5M €","13","14","20","3","3","3","13","12","11","3","2","4","2","1","16","15","5","9","2","16","6","12","15","2","7","17","1","14","4","16","18","15","9","11","12","11","1","15","3","16","1","17","14","1","18","14","13","- - -","Seg",""
"Eljif Elmas","182 cm","MKD","116.000 € p/m","Napoli","Serie A italiana","21","ME/MP (IC)","25M € - 31M €","12","13","13","3","11","13","15","14","14","6","1","10","2","1","15","13","11","15","4","15","11","17","8","2","8","15","3","12","1","14","11","14","15","13","15","12","2","11","13","13","2","13","12","2","14","14","14","- - -","nUE",""
"Dean Henderson","188 cm","ENG","324.000 € p/m","Man UFC","Premier Division inglesa","24","POR","20M € - 29M €","8","11","14","15","5","2","11","13","12","3","14","3","13","10","9","12","2","1","15","15","1","13","2","14","12","13","14","12","13","12","1","14","13","13","12","12","15","12","2","5","13","14","14","13","15","15","13","- - -","Les",""
"Lucas Torreira","168 cm","URU","302.000 € p/m","Fiorentina","Serie A italiana","25","MC, ME (C)","33M € - 49M €","12","13","15","1","13","12","14","14","14","5","2","11","3","2","17","15","8","12","2","13","11","15","13","1","10","18","3","10","3","14","15","14","12","14","15","13","3","15","12","6","2","14","6","1","16","15","14","- - -","Est",""
